Region,Crop_Type,Temperature,Rainfall,Pesticide_Use,Yield,Soil_Moisture,Humidity,Solar_Radiation,Wind_Speed,Previous_Crop,Fertilizer_Residuals,Pest_Infestation_Severity,Disease_Presence,Pesticide_Effectiveness,Monsoon_Delay,Flood_Occurrence,Temperature_Extremes,Year
Bihar,Sugarcane,21.64,857.25,104.33,5530.72,14.3,74.45,6.39,12.12,Maize,182.96,1.85,0,98.55,3.72,1,0,2019
Tamil Nadu,Sugarcane,20.78,1033.94,451.23,3824.01,18.45,69.71,5.07,19.26,Maize,65.53,7.4,1,97.23,2.45,0,1,2019
Odisha,Wheat,22.99,626.32,341.87,3834.2,17.18,51.33,6.45,11.79,Sugarcane,241.64,8.33,0,82.81,7.66,1,1,2019
Gujarat,Wheat,39.76,1141.45,440.7,2150.32,34.55,78.53,4.72,9.42,Maize,229.8,2.78,1,89.37,2.45,0,0,2019
Punjab,Rice,31.39,1140.26,192.0,5999.46,13.78,47.68,4.39,11.47,Sugarcane,270.43,6.48,0,98.03,7.5,1,1,2019
Uttar Pradesh,Sugarcane,39.82,859.77,320.86,2659.06,13.86,64.27,7.98,18.56,Maize,209.89,0.0,0,63.34,2.69,1,0,2019
Odisha,Maize,29.02,1366.65,345.83,1853.97,15.65,74.72,6.75,16.57,Wheat,66.8,5.55,0,60.23,11.85,1,0,2019
Punjab,Sugarcane,26.57,418.63,211.39,4542.56,21.95,52.74,6.22,6.46,Sugarcane,113.29,4.63,0,61.19,14.17,0,0,2019
Odisha,Maize,30.51,297.57,409.0,4233.58,12.58,48.17,4.78,4.75,Soybean,251.98,0.0,1,82.53,9.92,0,1,2019
Andhra Pradesh,Soybean,29.16,1137.18,445.89,3412.02,32.48,57.56,3.25,5.25,Wheat,91.78,2.78,0,90.51,12.27,0,1,2019
Telangana,Sugarcane,22.4,1178.42,422.69,3444.14,12.98,79.08,3.16,10.09,Soybean,224.62,3.7,1,74.68,16.94,1,1,2019
Punjab,Soybean,33.24,412.67,368.39,5098.33,31.9,85.8,5.77,14.88,Maize,245.06,9.26,0,81.81,11.52,0,0,2019
West Bengal,Wheat,24.63,574.73,196.46,2411.71,8.11,62.71,6.81,10.06,Soybean,132.53,6.48,1,80.65,6.57,1,0,2019
Madhya Pradesh,Wheat,32.81,298.24,198.01,5258.75,24.72,69.69,5.69,1.36,Wheat,130.57,2.78,1,63.79,8.11,1,1,2019
Odisha,Rice,33.43,605.63,451.93,4476.92,32.23,84.2,7.2,14.47,Sugarcane,189.45,1.85,0,72.86,15.53,0,0,2019
West Bengal,Sugarcane,23.33,1140.51,96.95,3429.45,10.07,35.91,3.17,16.12,Rice,265.32,0.93,0,60.78,2.36,0,0,2019
Maharashtra,Soybean,21.5,856.05,359.81,3607.51,34.08,43.92,4.83,5.79,Soybean,105.98,2.78,1,64.43,5.88,1,1,2019
Andhra Pradesh,Maize,36.07,666.7,356.16,2689.49,18.6,72.53,4.19,13.28,Rice,285.31,9.26,0,92.47,10.42,1,1,2019
Bihar,Wheat,29.57,693.06,325.04,4948.13,33.4,79.42,5.24,8.53,Soybean,199.78,8.33,0,93.18,12.21,1,0,2019
Bihar,Wheat,21.43,280.19,461.89,3857.53,25.32,81.42,3.36,17.78,Soybean,298.03,2.78,0,92.08,13.78,1,0,2019
Telangana,Maize,40.41,612.87,209.28,2982.19,14.06,54.91,7.77,16.9,Sugarcane,72.4,8.33,0,89.07,5.74,0,1,2019
Chhattisgarh,Soybean,21.43,999.29,219.74,4236.69,10.66,35.36,4.12,10.51,Maize,81.64,3.7,0,91.73,2.63,0,1,2019
Tamil Nadu,Soybean,34.33,1364.62,122.52,6058.7,14.12,56.27,7.61,13.83,Wheat,256.66,5.55,0,86.84,17.23,0,0,2019
Haryana,Sugarcane,40.18,1222.91,258.04,3503.73,7.8,43.84,5.13,17.67,Wheat,266.19,7.4,0,86.79,1.38,1,0,2019
Andhra Pradesh,Sugarcane,25.1,304.98,190.35,5716.61,9.32,47.47,7.93,9.91,Wheat,161.36,0.93,0,86.69,1.73,1,0,2019
Punjab,Rice,23.14,1280.31,221.01,3092.33,8.15,76.34,5.77,6.27,Maize,228.52,3.7,0,80.56,8.93,1,1,2019
Karnataka,Wheat,22.71,1151.72,403.96,1769.04,17.7,34.53,7.65,15.07,Rice,266.89,9.26,1,74.53,14.79,0,0,2019
Haryana,Sugarcane,26.4,1148.57,441.55,2450.6,28.89,79.65,3.03,4.4,Wheat,60.78,8.33,0,89.21,13.98,1,0,2019
Telangana,Soybean,22.3,789.21,162.29,3428.2,9.25,55.66,6.74,7.77,Rice,193.49,7.4,0,71.95,16.92,1,0,2019
Andhra Pradesh,Maize,34.28,722.34,231.86,2520.77,8.92,65.76,7.52,17.31,Maize,263.37,1.85,0,81.72,2.56,0,0,2019
Rajasthan,Soybean,21.52,616.34,438.99,1520.57,24.32,35.38,3.7,14.49,Maize,149.54,0.0,0,77.33,6.78,0,0,2019
Andhra Pradesh,Wheat,30.57,351.91,116.14,5690.67,10.92,50.24,3.48,8.08,Sugarcane,125.6,0.93,0,71.06,5.09,1,0,2019
West Bengal,Soybean,40.44,533.09,127.52,5366.45,7.93,35.38,5.12,4.29,Wheat,248.93,4.63,1,98.99,15.54,0,1,2019
Karnataka,Rice,36.74,553.57,153.75,4903.35,10.01,87.69,7.67,7.12,Sugarcane,133.95,3.7,1,70.35,8.81,1,1,2019
Uttar Pradesh,Wheat,32.72,818.28,314.81,2284.54,32.74,78.44,5.71,5.68,Wheat,50.79,0.0,0,72.37,0.48,0,1,2019
West Bengal,Maize,26.46,1111.86,149.16,2068.23,29.67,57.58,5.64,3.52,Maize,289.89,0.0,1,66.46,12.78,1,0,2019
Karnataka,Rice,32.89,806.84,453.68,1827.72,15.63,43.42,3.71,14.87,Maize,198.03,9.26,0,92.92,7.02,0,1,2019
Karnataka,Wheat,30.93,343.16,259.5,4820.1,24.69,86.01,3.0,5.04,Soybean,254.88,2.78,0,83.46,9.59,0,0,2019
Andhra Pradesh,Maize,28.89,1346.34,279.91,5753.61,21.13,50.68,7.05,9.08,Soybean,256.33,2.78,1,84.52,16.13,0,0,2019
Gujarat,Rice,22.9,1329.54,184.99,3482.18,25.33,39.66,3.44,7.72,Maize,66.6,4.63,1,92.82,4.63,0,0,2019
Telangana,Rice,38.21,1153.94,268.53,2062.65,25.5,63.79,6.17,19.64,Maize,92.72,4.63,1,73.72,4.34,1,0,2019
Telangana,Wheat,29.37,1383.72,339.65,3855.33,23.88,86.63,7.57,7.82,Rice,127.78,8.33,1,67.75,4.75,1,0,2019
Madhya Pradesh,Sugarcane,24.2,885.62,372.9,3109.72,12.99,30.23,4.04,1.6,Rice,130.17,4.63,1,67.94,6.1,0,1,2019
Gujarat,Rice,27.7,1351.89,373.9,3228.22,6.18,44.29,6.33,1.8,Sugarcane,214.7,0.0,0,89.3,1.94,1,1,2019
Karnataka,Rice,28.64,362.96,308.36,4351.94,18.68,86.31,3.39,11.82,Soybean,205.78,8.33,0,84.56,12.58,0,1,2019
Andhra Pradesh,Maize,37.02,686.31,429.95,4795.89,31.75,40.27,6.02,11.99,Soybean,173.65,7.4,0,68.25,3.74,0,0,2019
Madhya Pradesh,Soybean,35.12,529.91,397.57,2023.73,22.1,36.79,3.82,8.38,Maize,102.82,9.26,1,65.8,16.72,1,1,2019
Bihar,Wheat,35.84,496.97,375.08,1681.78,30.0,64.21,6.68,8.64,Maize,145.5,5.55,0,64.83,3.89,1,0,2019
Tamil Nadu,Wheat,20.48,435.63,113.83,6052.3,34.78,81.71,4.51,1.08,Sugarcane,185.9,5.55,1,85.11,4.61,1,1,2019
Rajasthan,Sugarcane,28.68,972.49,95.68,2580.45,9.92,58.63,5.32,10.33,Soybean,167.0,9.26,0,60.0,5.36,1,1,2019
Punjab,Sugarcane,30.01,1149.63,172.24,1764.93,25.77,89.67,6.0,10.09,Rice,81.82,5.55,1,60.73,13.87,1,1,2019
Bihar,Wheat,20.64,923.31,340.25,2385.1,25.25,70.75,3.86,2.99,Wheat,212.38,0.93,1,75.58,7.72,1,1,2019
Haryana,Sugarcane,25.52,442.5,246.27,1697.13,34.43,34.44,6.71,2.08,Sugarcane,68.26,0.93,0,87.65,14.79,1,1,2019
Madhya Pradesh,Maize,35.66,1182.85,243.0,3305.65,34.59,89.57,4.51,2.47,Wheat,144.55,4.63,0,87.8,14.17,0,1,2019
Haryana,Wheat,23.03,987.58,422.59,5177.37,25.62,54.47,6.31,2.02,Rice,227.51,5.55,0,77.2,16.78,1,0,2019
Tamil Nadu,Sugarcane,31.1,711.37,426.68,3075.14,12.32,47.24,3.79,12.19,Rice,55.01,1.85,0,87.64,13.66,0,0,2019
Tamil Nadu,Wheat,24.61,1030.14,431.75,3544.39,28.98,63.47,6.44,3.93,Wheat,192.5,2.78,1,80.84,0.94,1,0,2019
Odisha,Soybean,20.5,568.4,210.02,4599.27,8.22,48.26,3.64,5.03,Sugarcane,133.63,1.85,0,99.08,15.11,1,0,2019
Rajasthan,Rice,25.14,663.47,350.51,3839.38,28.44,35.19,5.13,3.47,Wheat,52.21,5.55,1,66.5,16.93,0,0,2019
Maharashtra,Wheat,40.02,1301.41,194.29,5446.53,32.33,30.09,4.24,19.16,Sugarcane,97.6,5.55,0,84.03,17.93,0,1,2019
Uttar Pradesh,Rice,36.49,602.51,164.11,5467.45,16.5,56.98,6.74,17.09,Sugarcane,285.24,2.78,0,79.65,2.26,0,0,2019
Rajasthan,Sugarcane,39.69,802.58,161.88,1564.71,23.94,80.21,4.31,4.61,Maize,180.29,5.55,0,67.78,11.07,0,0,2019
Uttar Pradesh,Rice,30.14,1270.93,220.54,5066.34,17.92,64.34,7.41,6.55,Soybean,299.31,3.7,0,90.0,3.6,1,0,2019
Maharashtra,Wheat,22.48,1067.58,253.26,3619.84,18.15,89.95,7.46,4.2,Soybean,181.2,0.0,0,71.02,4.74,1,0,2019
Maharashtra,Soybean,31.35,348.02,402.61,6027.27,14.32,47.21,3.98,9.84,Rice,185.98,8.33,1,75.27,13.46,0,0,2019
Rajasthan,Sugarcane,29.46,442.88,137.77,3722.4,27.89,46.83,6.07,0.39,Maize,147.96,2.78,0,74.99,17.65,0,0,2019
Odisha,Wheat,37.36,287.42,366.85,6018.41,33.11,39.58,3.44,13.43,Soybean,127.51,5.55,1,69.77,10.74,1,0,2019
Uttar Pradesh,Sugarcane,22.24,981.97,291.06,4959.32,33.25,39.84,4.96,10.46,Sugarcane,112.89,0.93,0,77.23,15.35,1,0,2019
Gujarat,Maize,30.15,777.7,200.36,2652.83,10.25,47.11,6.57,17.97,Sugarcane,135.86,0.93,1,78.93,0.16,0,0,2019
Punjab,Rice,23.29,428.36,276.67,3973.87,31.27,77.57,6.3,3.29,Wheat,164.96,0.0,0,89.77,0.66,1,1,2019
Gujarat,Maize,26.83,1346.5,204.83,6042.29,27.14,84.35,6.12,16.08,Wheat,98.0,0.93,0,90.6,10.77,1,0,2019
Odisha,Wheat,35.19,869.1,315.13,5428.68,12.59,88.51,4.41,15.84,Sugarcane,106.22,8.33,0,66.34,7.02,0,0,2019
Odisha,Soybean,29.9,548.32,254.7,1963.39,7.02,43.94,4.89,2.54,Sugarcane,117.89,6.48,1,83.71,16.06,0,1,2019
Uttar Pradesh,Sugarcane,27.87,836.71,154.35,4739.61,13.05,82.88,3.51,7.97,Wheat,162.31,9.26,1,95.85,5.45,0,1,2019
Telangana,Rice,28.25,1036.26,136.54,3094.9,32.39,49.7,6.6,3.4,Soybean,213.2,6.48,0,64.35,7.8,0,0,2019
West Bengal,Sugarcane,29.56,363.66,296.74,1551.37,24.01,36.77,5.52,5.09,Rice,264.04,6.48,0,78.92,9.53,1,0,2019
West Bengal,Wheat,36.16,584.89,429.23,3358.85,26.65,82.2,6.54,5.26,Wheat,121.78,0.0,0,90.01,4.93,0,0,2019
Tamil Nadu,Sugarcane,38.33,1178.21,221.23,2589.69,12.72,68.17,4.24,11.12,Soybean,95.93,0.0,1,84.46,16.4,1,1,2019
West Bengal,Rice,39.61,791.07,366.13,5252.44,26.6,39.88,4.62,8.23,Soybean,144.71,8.33,0,64.02,8.38,1,0,2019
Telangana,Wheat,36.19,887.95,338.44,3057.29,5.85,55.79,4.67,18.95,Soybean,273.6,2.78,1,75.86,7.66,1,1,2019
West Bengal,Sugarcane,26.64,761.14,440.08,5291.89,16.27,47.24,3.13,2.53,Maize,52.47,4.63,0,80.29,15.34,1,1,2019
Punjab,Soybean,34.19,327.61,398.9,1522.26,23.82,74.21,4.71,19.47,Maize,219.47,6.48,1,99.83,5.63,0,1,2019
Maharashtra,Wheat,29.12,463.44,304.15,2922.76,9.39,57.2,7.02,4.61,Soybean,169.29,0.93,1,67.14,14.75,1,1,2019
Chhattisgarh,Wheat,25.41,775.33,337.83,2618.91,29.71,89.36,7.49,15.46,Sugarcane,90.26,1.85,1,99.3,2.21,0,1,2019
Tamil Nadu,Soybean,37.29,511.86,427.73,2584.28,12.06,33.28,5.59,6.78,Maize,130.26,4.63,0,75.05,3.3,1,0,2019
Maharashtra,Maize,21.03,334.39,241.92,1830.37,24.59,51.3,5.28,2.86,Wheat,106.24,8.33,1,68.01,17.16,0,0,2019
Uttar Pradesh,Rice,38.52,1219.1,214.83,2372.56,17.17,58.91,3.15,17.16,Maize,269.46,2.78,0,76.56,15.21,1,1,2019
Rajasthan,Maize,29.6,1372.42,97.14,4052.07,22.9,60.19,7.4,6.18,Sugarcane,170.47,0.93,1,84.56,7.0,1,1,2019
Tamil Nadu,Sugarcane,33.16,1162.8,400.97,2847.74,8.23,48.96,3.07,13.18,Rice,190.77,5.55,0,68.54,11.52,0,1,2019
Odisha,Soybean,33.61,1230.4,391.45,3422.27,5.51,73.75,7.72,11.33,Maize,198.42,2.78,1,71.66,17.02,0,1,2019
Madhya Pradesh,Maize,38.39,548.41,132.02,3237.52,32.31,82.48,5.45,9.44,Soybean,209.9,6.48,1,94.18,3.82,0,0,2019
Tamil Nadu,Wheat,33.15,1349.5,307.97,5512.44,13.1,86.32,4.71,9.92,Soybean,173.89,6.48,0,99.96,1.07,0,1,2019
Chhattisgarh,Sugarcane,32.69,498.19,265.93,5646.44,29.61,78.31,7.62,14.64,Soybean,54.47,5.55,0,72.73,9.7,1,1,2019
Karnataka,Sugarcane,21.61,1339.25,137.33,3766.73,35.01,81.03,3.12,1.76,Rice,133.68,8.33,1,65.95,2.57,1,0,2019
Maharashtra,Maize,30.76,1387.61,458.34,3024.59,11.35,63.03,5.91,13.36,Sugarcane,95.97,7.4,1,91.73,3.38,1,0,2019
Uttar Pradesh,Maize,23.3,1072.04,173.08,2006.4,12.97,79.55,5.74,17.92,Wheat,220.04,2.78,0,84.02,16.09,1,0,2019
Telangana,Soybean,35.19,1372.37,118.16,5865.73,24.91,48.21,4.1,1.16,Sugarcane,64.18,5.55,1,64.02,0.13,1,0,2019
West Bengal,Rice,30.63,913.55,314.67,1794.09,33.99,53.91,5.14,2.81,Rice,190.95,8.33,1,97.87,14.74,0,1,2019
Karnataka,Maize,34.03,567.99,368.31,2876.41,32.5,49.01,6.26,14.33,Soybean,102.66,8.33,0,63.12,9.33,0,1,2019
Haryana,Maize,21.1,765.8,105.2,2878.3,20.1,58.04,6.64,8.75,Sugarcane,287.21,0.0,0,85.01,10.09,1,1,2019
Andhra Pradesh,Wheat,21.97,940.33,338.46,2980.12,28.88,47.13,3.0,8.07,Wheat,133.89,2.78,0,76.96,12.12,0,1,2019
Madhya Pradesh,Sugarcane,34.77,360.14,291.37,2268.46,9.08,87.7,7.68,2.74,Soybean,131.31,0.93,1,82.26,7.79,1,1,2019
Gujarat,Rice,21.72,972.41,131.58,5089.66,34.35,48.77,3.82,10.14,Wheat,280.85,7.4,1,68.53,2.09,1,1,2019
Maharashtra,Wheat,21.7,1372.41,157.37,2077.96,33.96,35.88,4.17,2.53,Maize,154.34,3.7,1,87.52,1.86,0,1,2019
Gujarat,Soybean,20.5,490.59,304.66,4413.83,9.92,61.61,4.32,9.53,Wheat,290.72,1.85,0,98.39,13.62,1,1,2019
Chhattisgarh,Soybean,39.63,1162.19,203.5,2084.1,13.99,33.43,3.19,15.27,Soybean,56.04,2.78,1,78.34,3.99,0,1,2019
Uttar Pradesh,Maize,35.19,1290.72,442.6,1841.08,8.01,36.63,3.62,5.17,Maize,126.59,4.63,0,80.92,0.51,1,0,2019
Gujarat,Maize,27.41,1330.63,398.06,5665.27,13.16,43.16,7.93,9.62,Soybean,216.55,8.33,0,69.59,17.68,0,1,2019
Uttar Pradesh,Soybean,26.26,1348.95,459.45,2386.26,29.5,57.86,4.58,19.84,Soybean,272.71,0.0,1,95.67,17.69,1,0,2019
Telangana,Maize,27.34,859.95,189.83,5263.29,16.36,56.0,3.58,13.73,Maize,114.1,5.55,0,98.85,6.82,1,0,2019
Haryana,Rice,35.95,1368.09,454.3,4002.29,7.66,77.98,3.53,16.83,Wheat,282.62,6.48,1,91.45,0.46,0,0,2019
Uttar Pradesh,Maize,33.65,1122.86,253.73,1874.45,15.28,74.37,6.6,8.3,Rice,198.53,5.55,0,81.71,13.13,1,0,2019
Punjab,Sugarcane,24.01,458.89,222.55,5875.05,34.47,55.58,7.27,15.36,Rice,250.25,5.55,0,98.27,15.0,1,1,2019
Punjab,Maize,23.78,810.28,111.87,2645.33,23.91,50.02,4.28,0.81,Rice,149.3,7.4,0,66.15,2.26,0,0,2019
Madhya Pradesh,Wheat,22.25,1079.41,112.77,5438.32,17.5,48.99,3.1,2.46,Rice,103.05,2.78,1,79.14,2.44,0,0,2019
Telangana,Rice,33.63,554.39,350.86,2289.07,10.0,76.44,4.12,4.06,Sugarcane,277.81,5.55,0,81.5,14.84,0,1,2019
Uttar Pradesh,Wheat,35.74,992.78,263.68,5412.33,34.61,33.12,3.28,8.04,Rice,283.28,7.4,1,79.68,16.64,1,0,2019
Madhya Pradesh,Wheat,25.62,1021.74,177.49,1579.84,29.65,30.77,3.52,16.91,Maize,174.39,3.7,0,92.1,14.27,0,1,2019
Punjab,Sugarcane,20.68,460.04,321.79,3852.54,13.45,77.73,5.16,6.93,Rice,51.62,0.93,0,86.82,3.62,0,1,2019
Madhya Pradesh,Rice,21.92,908.58,187.29,5027.12,7.11,58.63,4.15,13.09,Soybean,77.45,3.7,0,65.07,7.43,0,1,2019
Madhya Pradesh,Rice,39.86,1138.82,308.26,5780.9,6.7,37.85,5.58,14.19,Rice,193.26,2.78,1,73.86,10.84,1,1,2019
Rajasthan,Rice,26.24,834.8,226.91,5664.23,8.62,44.13,4.27,11.72,Wheat,55.94,6.48,1,73.56,2.89,0,0,2019
Rajasthan,Rice,35.84,292.17,399.85,5255.88,22.44,85.95,7.7,7.14,Maize,149.23,3.7,1,82.63,3.8,1,1,2019
Uttar Pradesh,Rice,32.91,288.75,398.79,5568.45,32.89,81.57,7.53,11.54,Maize,125.84,7.4,1,71.66,5.11,1,0,2019
Karnataka,Sugarcane,27.99,676.66,270.91,2427.7,19.92,72.59,5.83,6.85,Sugarcane,228.59,7.4,1,64.69,9.2,0,0,2019
Gujarat,Maize,24.42,1311.12,223.78,2815.02,30.31,58.93,4.77,1.68,Soybean,63.89,1.85,0,86.15,9.22,1,1,2019
Madhya Pradesh,Wheat,22.71,533.59,228.15,2836.83,18.39,61.22,4.91,19.86,Maize,172.18,8.33,0,94.04,14.7,1,0,2019
Bihar,Rice,32.71,985.81,393.21,3238.38,26.28,88.51,5.06,2.54,Wheat,194.78,4.63,1,97.26,13.59,1,1,2019
Karnataka,Maize,35.95,526.23,215.35,3312.53,26.98,87.95,6.64,1.45,Rice,204.32,4.63,1,98.9,16.49,1,0,2019
Punjab,Maize,33.3,637.25,170.98,4001.95,10.23,42.92,5.26,17.57,Maize,151.29,2.78,1,91.24,15.03,1,0,2019
Maharashtra,Wheat,31.0,1224.0,124.66,2248.36,15.85,78.67,7.28,6.04,Wheat,126.09,9.26,1,65.59,4.58,0,0,2019
Gujarat,Sugarcane,21.11,1091.15,266.94,4670.66,24.14,41.83,7.72,13.01,Rice,220.62,8.33,0,94.12,5.98,0,0,2019
West Bengal,Soybean,39.87,385.02,272.69,2283.41,7.13,42.81,4.68,6.58,Sugarcane,261.89,1.85,1,76.0,9.03,0,1,2019
Telangana,Soybean,36.43,756.56,406.32,2934.11,15.86,70.57,5.8,7.83,Maize,223.4,0.0,1,89.2,0.26,1,1,2019
Odisha,Maize,26.19,311.19,175.52,3814.09,21.06,54.3,3.48,5.24,Maize,283.03,5.55,1,81.25,16.31,0,0,2019
Gujarat,Wheat,40.11,814.73,235.02,5150.2,34.91,85.89,4.0,6.86,Wheat,229.32,3.7,1,93.14,0.8,1,0,2019
Madhya Pradesh,Soybean,32.45,1017.1,394.21,4890.49,19.25,35.34,5.07,8.21,Soybean,241.15,8.33,0,77.02,5.82,1,0,2019
Bihar,Maize,32.05,410.77,399.88,4462.27,29.5,60.69,4.03,14.41,Sugarcane,91.98,5.55,0,62.47,10.27,1,0,2019
Uttar Pradesh,Sugarcane,35.41,600.7,236.37,2229.64,17.98,85.11,7.38,10.23,Soybean,154.88,0.0,1,82.27,9.35,1,1,2019
Uttar Pradesh,Soybean,36.7,722.15,264.12,4013.3,28.91,84.25,3.79,18.87,Maize,171.26,6.48,0,66.85,11.81,0,0,2019
Madhya Pradesh,Maize,33.55,1303.69,206.08,1918.17,22.88,39.39,5.28,0.84,Soybean,114.07,1.85,0,98.62,9.52,1,0,2019
Madhya Pradesh,Maize,22.85,1385.87,440.45,3239.79,31.62,52.0,6.03,10.06,Rice,182.13,5.55,1,81.08,4.13,0,0,2019
Andhra Pradesh,Rice,27.11,328.74,137.3,3404.6,17.34,67.15,6.46,11.68,Sugarcane,122.7,1.85,1,82.14,3.63,0,1,2019
Gujarat,Sugarcane,39.05,1126.98,440.9,1701.02,23.15,39.56,4.92,18.4,Soybean,221.88,1.85,0,96.29,16.37,1,0,2019
Rajasthan,Rice,24.81,693.04,347.83,2768.54,23.92,88.08,7.35,0.98,Rice,167.57,8.33,0,84.98,4.76,0,1,2019
Rajasthan,Wheat,27.79,716.16,291.1,5875.97,17.54,84.88,5.84,11.47,Wheat,164.7,7.4,0,72.11,5.07,0,1,2019
West Bengal,Rice,29.01,1119.47,105.28,5866.77,9.34,40.02,5.2,17.07,Soybean,295.91,0.93,0,71.84,7.45,0,0,2019
Bihar,Rice,29.16,1302.46,270.26,3125.66,7.81,37.27,3.34,4.84,Sugarcane,148.11,2.78,0,80.06,2.52,1,0,2019
Odisha,Soybean,32.67,1338.69,244.98,1716.01,5.5,35.12,5.32,17.53,Rice,140.57,4.63,1,94.66,9.16,1,0,2019
Bihar,Maize,39.36,922.0,153.16,2335.96,31.23,84.57,7.1,0.38,Soybean,129.65,1.85,0,91.79,12.0,1,1,2019
Karnataka,Sugarcane,25.13,676.76,337.6,3307.5,12.1,41.62,6.07,14.65,Wheat,273.69,8.33,0,98.51,14.19,0,1,2019
West Bengal,Rice,22.72,1156.57,454.83,5840.09,11.35,54.98,7.16,18.66,Soybean,174.18,8.33,0,62.88,12.84,0,0,2019
Haryana,Sugarcane,24.26,558.47,302.51,2163.21,27.1,56.93,5.47,13.14,Rice,200.0,5.55,0,70.73,2.66,1,1,2019
Maharashtra,Rice,38.22,907.46,359.33,5000.1,14.61,65.94,3.59,8.78,Soybean,95.2,5.55,0,63.21,8.23,1,0,2019
Maharashtra,Wheat,33.34,678.39,118.61,2014.98,20.2,34.3,3.07,0.9,Sugarcane,185.24,3.7,0,90.04,0.7,0,0,2019
Odisha,Rice,26.05,1010.63,248.68,5992.7,9.88,43.61,4.52,18.4,Maize,118.66,1.85,0,65.63,0.32,1,0,2019
Andhra Pradesh,Soybean,36.78,546.65,136.45,3259.18,33.82,85.89,6.49,9.41,Rice,232.66,0.93,0,64.0,7.94,1,0,2019
Uttar Pradesh,Maize,37.7,492.25,321.36,5053.53,30.57,84.5,6.95,0.58,Rice,258.13,2.78,1,82.47,4.57,0,0,2019
Gujarat,Wheat,37.4,1302.25,442.66,3081.27,30.94,76.88,4.48,13.8,Rice,228.7,2.78,1,76.46,12.33,0,0,2019
Maharashtra,Rice,38.87,392.16,339.6,4380.83,17.22,31.16,5.48,9.64,Rice,232.56,9.26,0,88.6,13.07,1,1,2019
Karnataka,Sugarcane,25.36,842.67,121.72,2394.86,27.89,49.62,5.11,2.49,Soybean,178.12,6.48,1,79.48,16.16,1,1,2019
Gujarat,Wheat,35.55,524.86,225.21,2185.19,9.32,67.68,5.05,4.29,Sugarcane,228.03,6.48,1,77.01,13.73,1,1,2019
Gujarat,Wheat,29.58,322.07,298.21,5795.8,5.26,46.51,4.16,1.29,Wheat,155.67,3.7,1,77.02,0.87,1,0,2019
Rajasthan,Rice,37.31,318.83,243.29,5702.73,5.6,84.58,3.68,11.49,Sugarcane,212.87,4.63,1,94.88,6.71,0,0,2019
Uttar Pradesh,Wheat,35.01,474.0,403.61,5565.16,22.62,68.03,3.98,12.44,Rice,114.76,6.48,1,75.81,4.93,1,0,2019
Maharashtra,Sugarcane,35.98,1244.88,396.55,4370.64,18.68,34.31,3.28,10.11,Soybean,67.44,0.0,1,73.34,6.97,1,1,2019
Rajasthan,Wheat,33.55,593.56,321.0,5204.11,20.56,84.54,3.99,16.34,Soybean,153.37,3.7,0,73.54,2.89,0,0,2019
Tamil Nadu,Sugarcane,23.85,1338.16,232.21,1834.25,5.23,87.47,3.05,17.22,Rice,165.44,2.78,0,67.86,1.76,0,1,2019
Punjab,Rice,31.3,927.02,188.22,3045.71,17.69,34.66,6.14,12.31,Soybean,114.1,2.78,1,94.43,9.4,0,0,2019
Tamil Nadu,Maize,40.2,765.38,132.55,2949.59,26.56,61.94,4.58,0.26,Rice,231.93,9.26,0,65.87,13.0,0,1,2019
Tamil Nadu,Wheat,39.24,925.31,225.3,4417.19,18.3,48.2,7.87,13.9,Sugarcane,68.39,0.93,1,96.34,12.67,0,0,2019
Punjab,Maize,21.13,854.65,247.01,3142.21,26.99,53.57,3.97,8.36,Maize,105.69,8.33,0,71.34,8.14,0,0,2019
Tamil Nadu,Sugarcane,23.59,1124.49,344.83,2196.52,12.0,40.78,4.73,11.31,Soybean,237.14,0.0,0,95.98,9.43,0,1,2019
Maharashtra,Wheat,22.92,593.58,338.25,4238.6,29.42,64.68,4.79,12.98,Rice,159.28,4.63,0,91.63,9.32,1,1,2019
Gujarat,Soybean,34.96,672.23,119.23,5231.99,22.67,87.48,3.04,7.0,Rice,226.32,5.55,1,83.28,12.48,1,1,2019
Telangana,Maize,36.82,1275.33,240.33,3261.49,11.33,60.18,7.2,18.34,Soybean,191.87,3.7,0,86.78,0.86,0,0,2019
Rajasthan,Wheat,24.58,1333.7,160.82,2122.5,12.11,34.97,3.16,2.68,Wheat,287.68,6.48,0,73.03,12.81,1,1,2019
Madhya Pradesh,Maize,30.5,1273.62,151.52,2416.16,23.86,67.2,7.7,13.43,Rice,199.45,7.4,1,82.97,10.51,1,1,2019
Odisha,Wheat,37.28,746.24,401.25,2602.13,29.92,50.41,7.46,0.09,Soybean,53.72,9.26,1,71.7,3.58,0,0,2019
Haryana,Rice,35.1,1148.56,108.73,2886.65,17.48,81.36,5.68,18.49,Rice,138.22,9.26,0,76.09,0.89,0,0,2019
Andhra Pradesh,Maize,31.24,809.65,249.24,4449.79,12.76,56.08,5.72,2.25,Wheat,85.77,0.93,1,90.59,1.96,0,1,2019
Rajasthan,Soybean,32.21,833.29,155.76,4259.01,31.03,41.57,6.27,1.9,Maize,281.16,9.26,0,69.76,9.47,0,0,2019
Haryana,Soybean,30.55,506.84,420.63,4692.69,25.1,41.47,4.94,6.66,Wheat,76.0,2.78,0,93.55,13.69,0,1,2019
